date,forecast,lower,upper
2026-07-01,678310.1219780688,659761.6020450888,696858.6419110489
2026-08-01,684269.4600185318,665720.9400855517,702817.9799515118
2026-09-01,644145.5397445194,625597.0198115393,662694.0596774995
2026-10-01,669687.0004565172,651138.4805235371,688235.5203894973
2026-11-01,676510.4977245477,657961.9777915677,695059.0176575278
2026-12-01,750665.5218316192,732117.0018986391,769214.0417645993
2027-01-01,612630.3181458346,594081.7982128545,631178.8380788147
2027-02-01,597480.4966599023,578931.9767269222,616029.0165928823
2027-03-01,686600.6808367481,668052.160903768,705149.2007697282
2027-04-01,672533.6594822481,653985.1395492681,691082.1794152282
2027-05-01,710186.252991058,691637.733058078,728734.7729240381
2027-06-01,687856.7665521237,669308.2466191436,706405.2864851038
