year,total_sales_billions,months
1992,1756.3,12
1993,1881.0,12
1994,2046.3,12
1995,2157.6,12
1996,2298.6,12
1997,2404.6,12
1998,2516.1,12
1999,2735.2,12
2000,2914.9,12
2001,2994.1,12
2002,3056.4,12
2003,3188.1,12
2004,3396.3,12
2005,3611.9,12
2006,3793.8,12
2007,3913.6,12
2008,3857.6,12
2009,3538.1,12
2010,3742.4,12
2011,4023.3,12
2012,4219.8,12
2013,4376.6,12
2014,4555.2,12
2015,4638.3,12
2016,4759.2,12
2017,4949.6,12
2018,5161.2,12
2019,5307.3,12
2020,5467.3,12
2021,6399.7,12
2022,6916.1,12
2023,7073.4,12
2024,7264.7,12
2025,7518.7,12
2026,3816.4,6
